spotify_id,song_name,artist,peak_position,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,id,track_href,type,uri,target
1z6wl2rwKatfmza6usanWw,After A Few,Travis Denning,31,0.617,0.849,10,-4.316,0,0.0355,0.0146,0,0.194,0.695,106.998,213493,4,https://api.spotify.com/v1/audio-analysis/1z6wl2rwKatfmza6usanWw,1z6wl2rwKatfmza6usanWw,https://api.spotify.com/v1/tracks/1z6wl2rwKatfmza6usanWw,audio_features,spotify:track:1z6wl2rwKatfmza6usanWw,26 to 50
5XzombolzpiaOSTdj1W0VS,Bleed,A Boogie Wit da Hoodie,57,0.698,0.572,2,-7.735,1,0.198,0.135,0,0.154,0.391,71.446,176959,4,https://api.spotify.com/v1/audio-analysis/5XzombolzpiaOSTdj1W0VS,5XzombolzpiaOSTdj1W0VS,https://api.spotify.com/v1/tracks/5XzombolzpiaOSTdj1W0VS,audio_features,spotify:track:5XzombolzpiaOSTdj1W0VS,51 to 100
2IuazAsyvbb3fFZb0Uvsmk,In Between,Scotty McCreery,53,0.592,0.928,11,-5.402,1,0.0558,0.0166,1.5e-05,0.123,0.393,121.996,221600,4,https://api.spotify.com/v1/audio-analysis/2IuazAsyvbb3fFZb0Uvsmk,2IuazAsyvbb3fFZb0Uvsmk,https://api.spotify.com/v1/tracks/2IuazAsyvbb3fFZb0Uvsmk,audio_features,spotify:track:2IuazAsyvbb3fFZb0Uvsmk,51 to 100
0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,Bad Bunny,53,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4,https://api.spotify.com/v1/audio-analysis/0SqqAgdovOE24BzxIClpjw,0SqqAgdovOE24BzxIClpjw,https://api.spotify.com/v1/tracks/0SqqAgdovOE24BzxIClpjw,audio_features,spotify:track:0SqqAgdovOE24BzxIClpjw,51 to 100
4uqh9bualXNHXXwO2wPorc,Daisies,Katy Perry,40,0.639,0.546,1,-5.382,1,0.0407,0.0837,0,0.122,0.149,122.179,173124,4,https://api.spotify.com/v1/audio-analysis/4uqh9bualXNHXXwO2wPorc,4uqh9bualXNHXXwO2wPorc,https://api.spotify.com/v1/tracks/4uqh9bualXNHXXwO2wPorc,audio_features,spotify:track:4uqh9bualXNHXXwO2wPorc,26 to 50
7szuecWAPwGoV1e5vGu8tl,In Your Eyes,The Weeknd,16,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,237520,4,https://api.spotify.com/v1/audio-analysis/7szuecWAPwGoV1e5vGu8tl,7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/tracks/7szuecWAPwGoV1e5vGu8tl,audio_features,spotify:track:7szuecWAPwGoV1e5vGu8tl,11 to 25
1orjH4IkSH9VrWmRCToKV8,Shotta Flow 5,NLE Choppa,54,0.806,0.749,1,-5.268,1,0.328,0.0838,0,0.0621,0.77,140.032,145167,4,https://api.spotify.com/v1/audio-analysis/1orjH4IkSH9VrWmRCToKV8,1orjH4IkSH9VrWmRCToKV8,https://api.spotify.com/v1/tracks/1orjH4IkSH9VrWmRCToKV8,audio_features,spotify:track:1orjH4IkSH9VrWmRCToKV8,51 to 100
77fvnWALKJR0ws1VUx09CY,X,Jonas Brothers Featuring Karol G,33,0.715,0.827,4,-5.09,0,0.0617,0.0485,3.61e-05,0.321,0.75,117.977,185277,4,https://api.spotify.com/v1/audio-analysis/77fvnWALKJR0ws1VUx09CY,77fvnWALKJR0ws1VUx09CY,https://api.spotify.com/v1/tracks/77fvnWALKJR0ws1VUx09CY,audio_features,spotify:track:77fvnWALKJR0ws1VUx09CY,26 to 50
6xZ4Q2k2ompmDppyeESIY8,Level Of Concern,twenty one pilots,23,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,220051,4,https://api.spotify.com/v1/audio-analysis/6xZ4Q2k2ompmDppyeESIY8,6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/tracks/6xZ4Q2k2ompmDppyeESIY8,audio_features,spotify:track:6xZ4Q2k2ompmDppyeESIY8,11 to 25
6jGyDvL1Rf4XfwTb25o1HN,My Truck,Breland,92,0.883,0.299,2,-8.382,1,0.105,0.23,7.62e-06,0.162,0.55,136.982,158329,4,https://api.spotify.com/v1/audio-analysis/6jGyDvL1Rf4XfwTb25o1HN,6jGyDvL1Rf4XfwTb25o1HN,https://api.spotify.com/v1/tracks/6jGyDvL1Rf4XfwTb25o1HN,audio_features,spotify:track:6jGyDvL1Rf4XfwTb25o1HN,51 to 100
